Date,LT.NS,AXISBANK.NS,TATAMOTORS.NS,HDFC.NS,ICICIBANK.NS,TCS.NS,WIPRO.NS,ITC.NS,SUNPHARMA.NS,RELIANCE.NS
1/1/2014,712.367004,258.440002,370.971008,793.5,199.582001,1076.650024,207.261993,214.932999,572.349976,444.399994
1/2/2014,690.700012,254.460007,368.398987,791.099976,195.563995,1083.5,207.356003,209.966995,573.849976,437.5
1/3/2014,674.700012,252.179993,358.851013,791,193.964005,1111.099976,208.725006,209.832993,579.700012,432.125
1/6/2014,673.666992,251.259995,363.056,795.849976,189.235992,1119.800049,209.25,210.432999,588.25,427.475006
1/7/2014,679.666992,246.850006,361.225006,797.900024,190.908997,1103.069946,206.324997,211.132996,594.200012,421.049988
1/8/2014,665.567017,242.350006,366.321014,804.299988,191.690994,1116.319946,205.181,211.233002,600.900024,424.524994
1/9/2014,647.932983,236.970001,364.045013,802.150024,191.063995,1120.969971,202.837006,210.399994,607,425.350006
1/10/2014,637.367004,232.809998,363.105011,801.450012,186.272995,1140.449951,207.505997,215.067001,609.400024,429.075012
1/13/2014,653.700012,236.979996,372.15799,818.650024,191.800003,1184.380005,210.544006,216.966995,602.349976,440.200012
1/14/2014,648,235.410004,367.854004,824.349976,188.445007,1163.380005,207.600006,216.300003,603.549988,440.75
1/15/2014,666.067017,235.660004,373.29599,846.5,192.427002,1176.800049,210.261993,219.233002,603.5,442.725006
1/16/2014,669.333008,235.229996,365.825989,857.599976,192.526993,1175.150024,214.330994,217,592.75,443.075012
1/17/2014,668.567017,230.589996,365.777008,840.049988,188.100006,1106.530029,207.261993,216.567001,594,442.375
1/20/2014,665.96698,232.639999,370.921997,834.799988,189.817993,1169.099976,214.893997,220.132996,589.400024,434.875
1/21/2014,674.333008,237.710007,380.716003,838.150024,196.009003,1140.150024,214.330994,219.367004,580.349976,431.524994
1/22/2014,669.867004,237.770004,382.002991,841.049988,197.809006,1137.030029,216.731003,218.233002,597.450012,436.225006
1/23/2014,688.632996,243.199997,379.528992,856.150024,196.264008,1126.219971,216.938004,219.300003,609.349976,432.899994
1/24/2014,670.900024,240.919998,366.468994,844.700012,192.399994,1124.349976,214.819,216.167007,603.599976,433.825012
1/27/2014,653.432983,232.220001,344.553986,833,183.600006,1114.800049,213.955994,216.132996,597.799988,421.575012
1/28/2014,655.666992,224.350006,352.468994,831.150024,185.209,1106.180054,212.850006,217.766998,581.900024,422.424988
1/29/2014,662.099976,228.050003,348.016998,825.150024,182.072998,1104.900024,214.311996,216.667007,591.450012,418.299988
1/30/2014,653.632996,221.759995,357.911011,829.150024,177.190994,1108.800049,214.199997,216.399994,593.599976,412.5
1/31/2014,657.267029,224.589996,345.841003,808.450012,179.582001,1120.530029,215.643997,216.733002,588.700012,415.575012
2/3/2014,652.867004,224.779999,332.829987,788.849976,175.182007,1097.219971,212.231003,213.533005,594.299988,410.450012
2/4/2014,655.333008,224.360001,342.179993,788.150024,176.117996,1075.680054,208.369003,216.600006,587.75,410.774994
2/5/2014,656.932983,224.740005,351.332001,784.799988,175.682007,1097.199951,210.149994,212.632996,583.599976,408.625
2/6/2014,650.166992,220.589996,353.855011,785.349976,174.190994,1087.619995,213.205994,216.367004,584.900024,407.924988
2/7/2014,656.099976,225.089996,356.377991,783.450012,174.626999,1072.199951,210.619003,215.632996,601.650024,407.225006
2/10/2014,663.932983,223.789993,360.187012,765.400024,174.645004,1046.780029,211.199997,216.667007,611.650024,410.975006
2/11/2014,662.432983,224.190002,370.526001,774.799988,176.154999,1050.849976,211.181,216.733002,608.299988,402.625
2/12/2014,673.666992,223.919998,372.653015,785.5,181.673004,1052.719971,210.919006,213.699997,611.049988,408.950012
2/13/2014,657.96698,220.300003,371.959991,766.049988,178.835999,1066.880005,208.199997,211.266998,615.299988,403.700012
2/14/2014,661.833008,220.610001,384.674011,770.700012,179.718002,1083.949951,211.425003,213.199997,609.049988,411.024994
2/17/2014,665.53302,223.050003,382.497009,779.299988,183.481995,1082.699951,210.375,213.399994,605.099976,406.149994
2/18/2014,678.267029,233.080002,387.246002,803.900024,188.690994,1083,208.893997,211.266998,609.75,406.575012
2/19/2014,687.53302,233.229996,387.345001,805.799988,187.436005,1098.969971,212.080994,211.100006,623.299988,406.125
2/20/2014,689.767029,231.570007,387.691986,791.650024,183.244995,1094.680054,211.949997,207.899994,619.650024,402.725006
2/21/2014,703.432983,238.669998,391.994995,800.599976,186.417999,1102.849976,214.330994,211.733002,615.150024,405.75
2/24/2014,723.099976,247.639999,392.34201,810.25,188.399994,1088.949951,216.619003,213.367004,620.599976,406.174988
2/25/2014,725.267029,247.350006,394.270996,811.400024,187.473007,1094.449951,223.593994,214.632996,619.049988,405.274994
2/26/2014,731.099976,247.850006,396.941986,819.099976,188.445007,1091.069946,226.143997,219.167007,628.099976,405.350006
2/28/2014,739.767029,253.410004,412.524994,819.299988,189.791,1137.880005,223.968994,218.432999,644.700012,399.975006
3/3/2014,731.700012,251.100006,406.34201,812.549988,187.235992,1120.030029,219.712006,219.466995,625.099976,401.700012
3/4/2014,744.46698,258.709991,408.518005,821.849976,194.382004,1120.319946,220.574997,221.100006,619.400024,406.475006
3/5/2014,748.900024,261.529999,405.252991,827.150024,199.891006,1125.949951,221.438004,222.199997,623.700012,403.5
3/6/2014,761.666992,265.899994,404.11499,837.849976,206.173004,1120.380005,219.319,223.033005,621,411.225006
3/7/2014,799.099976,281.359985,404.759003,848.25,218.526993,1114.25,212.005997,225.432999,612.299988,434.700012
3/10/2014,824.599976,285.309998,391.798004,850.200012,217.018005,1071.319946,208.968994,223.733002,597,442.725006
3/11/2014,820.03302,283.5,393.72699,853.099976,217.845001,1075.819946,209.944,222.667007,580.25,437.375
3/12/2014,812.166992,279.579987,384.722992,854.650024,220.300003,1089.719971,212.531006,227.332993,604.299988,435.674988
3/13/2014,816.799988,276.230011,383.881989,865.400024,221.817993,1074.780029,211.350006,228.932999,572.950012,439.774994
3/14/2014,836.632996,270.980011,389.076996,856.650024,220.908997,1069.780029,205.350006,231.466995,582.049988,443.075012
3/18/2014,827.03302,269.820007,377.20401,852.200012,219,1061,202.669006,237.266998,579.349976,448.225006
3/19/2014,830.666992,277.109985,380.270996,867.700012,219.990997,1019.700012,204.412994,239.800003,585.299988,451.5
3/20/2014,812.700012,271.470001,375.67099,847.849976,218.317993,1054.099976,207.130997,237.199997,590.200012,453
3/21/2014,811.067017,278.850006,385.019989,843.25,218.100006,1063.5,213.074997,238.466995,580.400024,442.899994
3/22/2014,null,null,null,null,null,null,null,null,null,null
3/24/2014,820.232971,282.140015,387.345001,860.25,225.854996,1076.300049,211.050003,240.432999,579.299988,452.700012
3/25/2014,832.299988,280.179993,386.701996,871.700012,227.735992,1073.319946,205.688004,241.867004,579.299988,439.649994
3/26/2014,850.53302,286.019989,397.388,866.400024,228.455002,1046.75,204.580994,239.367004,566.599976,445.600006
3/27/2014,855.732971,285.98999,392.48999,875.099976,228.908997,1047.119995,207.524994,239.932999,560.549988,450.375
3/28/2014,858.767029,292.390015,393.084015,875.799988,228.945007,1051.050049,207.018997,238.966995,563.200012,458.075012
