Date,MTNL.NS,HINDPETRO.NS,SAIL.NS,BATAINDIA.NS,GODREJIND.NS,WHIRLPOOL.NS,CENTURYTEX.NS,DABUR.NS,BHEL.NS,IDBI.NS
1/1/2014,15.1,53.233299,73.050003,533.825012,278.877014,210.399994,314.200012,172,116.932999,67.599998
1/2/2014,15.15,51.644402,71.099998,515.150024,270.683014,210,293.75,166.899994,113.133003,65.599998
1/3/2014,15.3,50.455601,70.650002,520.474976,270.283997,210.050003,305.049988,167.050003,110.300003,66.150002
1/6/2014,15.95,50.1222,72.050003,513.150024,279.076996,209.949997,306.399994,169.699997,109.532997,65.550003
1/7/2014,17.6,49.2556,69.75,512.275024,273.830994,210.199997,311.399994,172.600006,110,64.25
1/8/2014,17,48.2556,69.900002,521.125,271.683014,210,311.100006,174,108.599998,66.800003
1/9/2014,17.4,48.944401,69.949997,512.474976,268.535004,210.300003,308.600006,173.050003,108.599998,64.75
1/10/2014,16.75,49.044399,68.650002,505.924988,277.377991,209.899994,304.899994,173.949997,108.667,64.099998
1/13/2014,16.450001,48.988899,67.150002,519.125,281.475006,200,306.100006,169.949997,109.233002,64.199997
1/14/2014,15.85,48.5667,66.550003,508.274994,281.125,197.649994,304.399994,171.800003,108.133003,64.050003
1/15/2014,15.7,49.366699,66.699997,498.850006,285.770996,198,315.100006,170.600006,111.032997,65.349998
1/16/2014,15.35,50.233299,67.849998,503.524994,291.117004,196.300003,312.850006,168,113.233002,64.75
1/17/2014,14.9,52.6222,67.099998,496.299988,290.417999,190.449997,300.350006,167.199997,114.567001,63.200001
1/20/2014,14.95,51.9333,68.150002,495.200012,293.015991,188.399994,308.049988,169.75,115.932999,63.150002
1/21/2014,15,51.9333,69.050003,486.774994,288.718994,195.850006,313.149994,167.699997,113.167,63.849998
1/22/2014,14.85,52.855598,69.75,492.924988,287.519989,192.449997,325.5,160.800003,113.333,63.450001
1/23/2014,14.7,52.333302,69.25,494.799988,282.273987,191.850006,323.25,161.75,114.167,63.650002
1/24/2014,15.4,51.611099,69.150002,484.075012,268.285004,187,306.649994,163.949997,110,61.450001
1/27/2014,16,50.677799,67.349998,472.399994,269.035004,181.800003,287.600006,163,108.167,57.450001
1/28/2014,15.45,50.444401,67.699997,464.325012,266.337006,180.25,289.5,168.300003,109.567001,56.200001
1/29/2014,14.95,53.411098,65.449997,465.299988,281.875,176.449997,288.75,171,113.833,54.349998
1/30/2014,14.65,51.7444,65,460.899994,264.239014,173.949997,283.649994,170,115.467003,54.75
1/31/2014,15.7,54.277802,64.150002,475.524994,272.282013,179,296.100006,172,115.167,55.549999
2/3/2014,15.2,54.3111,62.200001,477.625,266.087006,181.699997,293.700012,168.399994,111.432999,54.400002
2/4/2014,15,53.366699,60.400002,485.774994,266.487,189.25,292.700012,170.050003,108.567001,55.549999
2/5/2014,14.95,53.322201,61.900002,481.524994,277.428009,187.199997,300.399994,173.100006,107.233002,55.049999
2/6/2014,14.95,53.9333,62,478.125,275.480011,184.699997,295.950012,173.25,104.733002,54.200001
2/7/2014,14.75,53.6222,63.650002,485.899994,280.226013,190.199997,299.399994,174.800003,103.833,54.700001
2/10/2014,14.7,53.844398,63.400002,495.850006,269.734009,190.399994,303.200012,174.649994,103.932999,54.700001
2/11/2014,14.55,55.488899,64.099998,500.625,274.031006,183.649994,300.850006,176.300003,103.400002,54.900002
2/12/2014,14.45,54.6222,62.400002,500.174988,270.18399,179.949997,300.399994,177.75,104.900002,54.700001
2/13/2014,14.1,52.200001,60.349998,498.975006,270.683014,175.350006,293.399994,172,101.300003,53.849998
2/14/2014,14,52.522202,61.299999,511.399994,270.033997,182.300003,294.799988,173.649994,99,55
2/17/2014,14.55,52.922199,60.200001,509.125,273.032013,185.649994,297,172.649994,98.366699,56.049999
2/18/2014,14.35,53.355598,60.25,510.850006,269.533997,189.25,301.5,170.800003,99.766701,56.450001
2/19/2014,14.3,53.288898,59.900002,511.149994,268.535004,193.050003,300.75,170.550003,100.432999,56.099998
2/20/2014,14.2,53.822201,58.549999,511.649994,266.936005,190.899994,310.850006,170.149994,100.633003,55.900002
2/21/2014,14.2,56.322201,58.349998,515.650024,268.036011,191.5,316.149994,173.199997,100.400002,56.150002
2/24/2014,14.4,56.0667,57.200001,521.525024,271.233002,192.449997,315.399994,172.649994,104.366997,56.099998
2/25/2014,14.15,56.9333,55.200001,520.625,275.628998,191.300003,315,172.050003,106.467003,55.900002
2/26/2014,14.1,58.3778,56.049999,527.525024,275.778992,193.149994,317.200012,172.100006,108.266998,55.700001
2/28/2014,14.1,58.833302,55.700001,530.325012,277.428009,194.850006,319.799988,173.449997,111.833,56
3/3/2014,13.9,60.011101,55.099998,521.099976,276.82901,199.350006,315.149994,172.300003,108.467003,56.200001
3/4/2014,14.2,60.344398,56.5,525.125,283.322998,198.699997,331.450012,174.050003,111.300003,57.150002
3/5/2014,14.05,61.077801,58.200001,536,281.225006,202,331.350006,171.699997,111.333,58.5
3/6/2014,14.2,62.988899,59.75,537.025024,287.470001,212.350006,336.799988,172.850006,115.567001,58.650002
3/7/2014,14.3,64.544403,61.349998,533.474976,286.42099,204.600006,340.25,171.550003,123.233002,59.849998
3/10/2014,14.35,64.199997,59.799999,546.825012,297.261993,206.100006,343.350006,172.899994,126.300003,60.700001
3/11/2014,14.25,63.722198,57.25,552.25,293.015991,204.75,337.700012,174.699997,126.233002,59.950001
3/12/2014,14.2,62.422199,56.849998,545.599976,292.81601,203.550003,339.450012,173.199997,122.633003,59.549999
3/13/2014,14.6,64.6222,55.799999,544.650024,295.164001,203.75,333.600006,171.800003,122.067001,59.400002
3/14/2014,14.25,63.366699,55.75,549.700012,297.212006,205.399994,335.350006,173.949997,125.300003,59.049999
3/18/2014,14.15,65.599998,55.450001,544.75,292.165985,205.350006,340.100006,177.050003,126,59.700001
3/19/2014,14.2,64.866699,56.450001,563.349976,291.766998,216.949997,347.850006,177.899994,126.766998,59.549999
3/20/2014,14.1,63.777802,56.849998,554.275024,290.867004,224.350006,340.049988,179.050003,123.233002,58.299999
3/21/2014,14.1,61.799999,58.349998,551.174988,292.665985,229.600006,339.200012,179.949997,125.167,58.700001
3/22/2014,null,null,null,null,null,null,null,null,null,null
3/24/2014,14.05,62.944401,59.150002,571.075012,301.759003,230.100006,343.549988,179.449997,125.366997,59.950001
3/25/2014,14.35,64.488899,59.950001,564.875,306.304993,227.100006,343.049988,176,131.033005,60.200001
3/26/2014,14.2,64.988899,63.450001,554.924988,309.902008,228.350006,352.649994,177.149994,130.367004,61.549999
3/27/2014,14.55,65.988899,64,555.924988,309.352997,226.050003,356.399994,177.899994,131.899994,63.799999
3/28/2014,14.85,68.166702,64.699997,563.474976,311.851013,228.149994,364.149994,179.100006,133.399994,65.800003
3/31/2014,15.2,68.844398,71.400002,570.349976,315.347992,231.100006,363.299988,179.649994,130.699997,65.300003
4/1/2014,15.75,67.444397,71.150002,565.099976,314.447998,226.550003,365.049988,188.350006,129.667007,64.099998
4/2/2014,16.15,68.344398,71.849998,559.150024,323.640991,242.449997,366.950012,182.350006,128.899994,65.550003
4/3/2014,15.75,66.788902,72.050003,561.275024,324.390991,232.350006,363.200012,184,124.900002,64.349998
4/4/2014,15.85,69.855598,71.300003,548.799988,317.846008,239.449997,375.299988,179.949997,122.333,65.050003
4/7/2014,15.85,68.300003,70.900002,542.525024,315.796997,240.25,372.75,183.5,118.432999,64.199997
4/9/2014,16.299999,69.733299,74.300003,549.525024,318.945007,238.25,374.850006,182.75,121.067001,67
4/10/2014,16.1,70.777802,74.650002,541.799988,314.248993,230.899994,371.5,181.149994,124.366997,66.849998
4/11/2014,17.4,69.066704,73.349998,535.025024,314.248993,226.800003,385.350006,179.149994,123.633003,68.150002
4/15/2014,16.950001,69.822197,69.599998,542.625,307.20401,225.800003,376.5,178.800003,121.333,66.349998
4/16/2014,16.15,67.300003,69.5,533.950012,313.549011,225.699997,360.700012,178.899994,117.032997,65.199997
4/17/2014,16.450001,69.322197,71.099998,535.75,314.997986,226.949997,363.25,179.050003,120.833,66.25
4/21/2014,16.700001,70.866699,72.449997,532.825012,328.386993,228.300003,369.299988,178.149994,124.233002,68.150002
4/22/2014,17.049999,72.833298,70.800003,527.799988,322.84201,225.899994,362.100006,179.800003,124.532997,67.099998
4/23/2014,17.950001,72.555603,71.900002,547.424988,317.54599,232,364.049988,178.350006,126.400002,67
4/24/2014,17.950001,72.555603,71.900002,547.424988,317.54599,232,364.049988,178.350006,126.400002,67
4/25/2014,18.85,70.022202,71.349998,551.299988,310.901001,230.699997,358.950012,178.800003,127.467003,67.699997
4/28/2014,18.85,70.699997,71.599998,548.950012,313.449005,230.050003,356.299988,180.100006,124.133003,69.300003
4/29/2014,18.549999,70.766701,68.599998,537.775024,306.804993,228.5,353.899994,177.800003,124.366997,68
4/30/2014,17.65,71.522202,67.449997,534.075012,301.90799,227.199997,335,179.25,120.300003,68.199997
5/2/2014,17.4,73.211098,66.25,511.825012,299.559998,219.800003,354.149994,180.25,120.233002,69.099998
5/5/2014,17.1,74.455597,67.75,502.399994,291.46701,216.5,381.899994,179.5,118.633003,68.75
5/6/2014,17.049999,75.888901,67.050003,501.225006,291.666992,216.899994,384.5,179.199997,119.300003,68.099998
5/7/2014,17,77.266701,67.099998,510.625,290.518005,218.149994,379.049988,178,118.932999,67.199997
5/8/2014,16.75,77.611099,67.400002,515.799988,283.77301,223.850006,378.350006,179.699997,122.833,66.25
5/9/2014,17.15,80.644402,70.25,514.650024,289.618011,225.800003,393.25,179.850006,129.367004,69.349998
5/12/2014,17.75,83.655602,69,519.924988,294.414001,229.399994,396.899994,182.100006,132.432999,69.699997
5/13/2014,19.799999,84.022202,70.699997,513.799988,293.015991,231,402.200012,188.850006,145.966995,70.449997
