Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,14.800000,15.400000,14.630000,15.130000,15.130000,624809
2014-01-02,15.200000,15.990000,15.050000,15.160000,15.160000,1043154
2014-01-03,15.140000,15.700000,14.910000,15.370000,15.370000,663751
2014-01-06,15.250000,16.150000,15.250000,15.980000,15.980000,1016473
2014-01-07,16.480000,18.030001,15.980000,17.620001,17.620001,5333968
2014-01-08,17.990000,18.250000,16.850000,17.000000,17.000000,3364416
2014-01-09,17.000000,18.180000,16.549999,17.370001,17.370001,3337145
2014-01-10,18.000000,18.330000,16.559999,16.740000,16.740000,2321244
2014-01-13,16.900000,17.100000,16.340000,16.469999,16.469999,1177203
2014-01-14,16.450001,16.490000,15.800000,15.900000,15.900000,615367
2014-01-15,15.990000,16.190001,15.600000,15.730000,15.730000,1014683
2014-01-16,15.800000,15.920000,15.230000,15.400000,15.400000,487236
2014-01-17,15.330000,15.400000,14.850000,14.900000,14.900000,440207
2014-01-20,14.970000,15.150000,14.910000,15.000000,15.000000,342041
2014-01-21,15.150000,15.150000,14.920000,15.020000,15.020000,155484
2014-01-22,15.050000,15.100000,14.820000,14.860000,14.860000,204728
2014-01-23,14.910000,14.990000,14.610000,14.690000,14.690000,250794
2014-01-24,14.700000,15.900000,14.510000,15.430000,15.430000,1129988
2014-01-27,15.450000,16.650000,15.070000,16.010000,16.010000,1819971
2014-01-28,16.150000,16.400000,15.330000,15.440000,15.440000,578221
2014-01-29,15.400000,15.850000,14.800000,14.950000,14.950000,677981
2014-01-30,14.800000,15.100000,14.500000,14.660000,14.660000,323828
2014-01-31,15.250000,16.090000,15.250000,15.700000,15.700000,1136878
2014-02-03,15.950000,15.950000,15.050000,15.250000,15.250000,410192
2014-02-04,15.150000,15.450000,14.800000,15.000000,15.000000,443063
2014-02-05,15.300000,15.450000,14.900000,14.950000,14.950000,321295
2014-02-06,15.100000,15.450000,14.850000,14.950000,14.950000,326198
2014-02-07,15.350000,15.350000,14.650000,14.750000,14.750000,380472
2014-02-10,15.000000,15.000000,14.650000,14.700000,14.700000,179886
2014-02-11,14.750000,14.850000,14.500000,14.600000,14.600000,194091
2014-02-12,14.650000,14.750000,14.450000,14.500000,14.500000,188324
2014-02-13,14.550000,14.650000,14.050000,14.150000,14.150000,215498
2014-02-14,14.250000,14.450000,13.800000,14.050000,14.050000,281673
2014-02-17,14.250000,14.850000,14.250000,14.600000,14.600000,492674
2014-02-18,14.650000,14.650000,14.300000,14.400000,14.400000,185494
2014-02-19,14.350000,14.650000,14.250000,14.300000,14.300000,193154
2014-02-20,14.300000,14.400000,14.100000,14.150000,14.150000,157076
2014-02-21,14.250000,14.400000,14.100000,14.150000,14.150000,151146
2014-02-24,14.200000,14.750000,14.100000,14.450000,14.450000,243216
2014-02-25,14.500000,14.500000,14.050000,14.100000,14.100000,176257
2014-02-26,14.200000,14.450000,14.000000,14.050000,14.050000,163534
2014-02-28,14.200000,14.300000,14.050000,14.100000,14.100000,129043
2014-03-03,14.200000,14.200000,13.770000,13.890000,13.890000,178138
2014-03-04,13.870000,14.500000,13.760000,14.180000,14.180000,409085
2014-03-05,14.220000,14.310000,14.000000,14.050000,14.050000,178383
2014-03-06,14.120000,14.390000,14.010000,14.200000,14.200000,237239
2014-03-07,14.250000,14.700000,14.250000,14.350000,14.350000,513267
2014-03-10,14.340000,14.550000,14.200000,14.370000,14.370000,222462
2014-03-11,14.390000,14.500000,14.250000,14.280000,14.280000,222047
2014-03-12,14.310000,14.370000,14.180000,14.200000,14.200000,105580
2014-03-13,14.260000,15.170000,14.250000,14.550000,14.550000,1067140
2014-03-14,14.500000,14.600000,14.220000,14.290000,14.290000,252799
2014-03-18,14.410000,14.530000,14.060000,14.180000,14.180000,233265
2014-03-19,14.250000,14.400000,14.180000,14.210000,14.210000,222227
2014-03-20,14.240000,14.290000,14.080000,14.100000,14.100000,150421
2014-03-21,14.200000,14.290000,14.050000,14.080000,14.080000,203853
2014-03-22,null,null,null,null,null,null
2014-03-24,14.190000,14.250000,14.020000,14.060000,14.060000,175664
2014-03-25,14.100000,15.050000,14.010000,14.340000,14.340000,583417
2014-03-26,14.600000,14.600000,14.100000,14.190000,14.190000,474840
2014-03-27,14.250000,14.910000,14.250000,14.570000,14.570000,624848
2014-03-28,14.640000,15.220000,14.430000,14.890000,14.890000,736077
2014-03-31,14.990000,15.320000,14.850000,15.230000,15.230000,719983
2014-04-01,15.350000,15.950000,15.100000,15.850000,15.850000,1053337
2014-04-02,16.000000,16.250000,15.500000,16.049999,16.049999,790147
2014-04-03,16.350000,16.400000,15.600000,15.700000,15.700000,621355
2014-04-04,15.750000,16.200001,15.500000,15.850000,15.850000,720490
2014-04-07,15.850000,16.150000,15.600000,15.900000,15.900000,349982
2014-04-09,16.100000,16.450001,16.100000,16.350000,16.350000,608934
2014-04-10,16.250000,16.450001,16.000000,16.100000,16.100000,366746
2014-04-11,16.100000,17.650000,15.900000,17.299999,17.299999,2034107
2014-04-15,17.450001,17.500000,16.799999,16.950001,16.950001,386565
2014-04-16,17.000000,17.150000,16.000000,16.250000,16.250000,739938
2014-04-17,16.299999,16.750000,16.200001,16.400000,16.400000,351637
2014-04-21,16.450001,17.250000,16.400000,16.750000,16.750000,464738
2014-04-22,16.750000,17.400000,16.250000,17.150000,17.150000,941785
2014-04-23,17.900000,18.400000,17.600000,18.000000,18.000000,2268340
2014-04-24,18.000000,18.000000,18.000000,18.000000,18.000000,0
2014-04-25,18.100000,19.200001,14.600000,18.799999,18.799999,2458009
2014-04-28,18.799999,19.450001,18.700001,18.799999,18.799999,1127188
2014-04-29,18.799999,19.200001,18.400000,18.549999,18.549999,780447
2014-04-30,18.799999,18.799999,17.250000,17.650000,17.650000,800477
2014-05-02,17.850000,17.850000,17.250000,17.400000,17.400000,398738
2014-05-05,17.500000,17.500000,17.000000,17.100000,17.100000,383820
2014-05-06,17.200001,17.350000,16.950001,17.049999,17.049999,137897
2014-05-07,17.000000,17.799999,16.850000,17.049999,17.049999,698539
2014-05-08,17.250000,17.299999,16.650000,16.750000,16.750000,267917
2014-05-09,16.799999,17.350000,16.700001,17.150000,17.150000,405780
2014-05-12,17.350000,17.900000,17.200001,17.700001,17.700001,659205
2014-05-13,18.250000,20.100000,18.200001,19.799999,19.799999,2837701
2014-05-14,19.900000,20.799999,19.400000,20.549999,20.549999,1511298
2014-05-15,20.799999,20.799999,19.250000,19.450001,19.450001,1032069
2014-05-16,20.500000,20.900000,19.600000,20.299999,20.299999,1819242
2014-05-19,20.450001,22.600000,19.850000,22.250000,22.250000,2960642
2014-05-20,22.250000,26.700001,21.850000,26.250000,26.250000,6598902
2014-05-21,25.799999,28.250000,25.700001,26.950001,26.950001,5265559
2014-05-22,27.549999,27.700001,26.350000,26.799999,26.799999,1622055
2014-05-23,26.700001,32.150002,26.700001,32.000000,32.000000,5936635
2014-05-26,33.799999,35.200001,29.049999,30.700001,30.700001,6603648
2014-05-27,30.700001,32.250000,28.100000,31.150000,31.150000,3605110
2014-05-28,31.200001,31.650000,30.000000,30.299999,30.299999,2323993
2014-05-29,30.450001,31.400000,29.500000,30.150000,30.150000,1420289
2014-05-30,30.400000,32.349998,29.700001,31.049999,31.049999,1835222
2014-06-02,34.150002,34.150002,32.450001,33.299999,33.299999,2276701
2014-06-03,33.049999,33.450001,32.049999,32.799999,32.799999,1275885
2014-06-04,32.900002,34.500000,32.599998,33.950001,33.950001,2462819
2014-06-05,34.250000,34.299999,32.700001,33.250000,33.250000,1560324
2014-06-06,33.500000,34.250000,32.750000,33.000000,33.000000,1173738
2014-06-09,33.000000,33.599998,32.549999,32.700001,32.700001,1262904
2014-06-10,32.700001,33.000000,31.100000,32.549999,32.549999,1363253
2014-06-11,32.599998,34.849998,32.150002,32.950001,32.950001,3738729
2014-06-12,32.549999,33.650002,32.099998,32.500000,32.500000,1472201
2014-06-13,32.500000,32.700001,29.250000,29.250000,29.250000,1309221
2014-06-16,28.900000,30.000000,27.150000,29.400000,29.400000,1682950
2014-06-17,29.500000,32.299999,28.250000,31.799999,31.799999,2500897
2014-06-18,32.700001,34.950001,32.099998,34.650002,34.650002,7961049
2014-06-19,35.049999,35.900002,33.400002,34.000000,34.000000,2599857
2014-06-20,35.000000,37.400002,34.200001,36.950001,36.950001,5310902
2014-06-23,37.400002,37.750000,35.799999,36.900002,36.900002,2895633
2014-06-24,36.849998,37.650002,36.500000,37.250000,37.250000,2023171
2014-06-25,38.049999,39.099998,37.700001,38.200001,38.200001,3159077
2014-06-26,38.500000,38.599998,36.900002,37.299999,37.299999,1553168
2014-06-27,37.650002,37.650002,36.099998,36.349998,36.349998,1006720
2014-06-30,36.200001,36.599998,35.400002,35.650002,35.650002,1002177
2014-07-01,35.900002,37.400002,35.599998,37.400002,37.400002,2142878
2014-07-02,37.849998,37.849998,36.000000,36.349998,36.349998,1181580
2014-07-03,36.650002,36.650002,34.549999,34.700001,34.700001,478874
2014-07-04,35.200001,36.400002,34.700001,36.400002,36.400002,1824401
2014-07-07,37.000000,38.799999,36.750000,38.049999,38.049999,3246822
2014-07-08,37.900002,38.450001,34.000000,34.549999,34.549999,1647282
2014-07-09,34.450001,36.150002,33.599998,34.200001,34.200001,1734822
2014-07-10,34.349998,35.599998,32.000000,33.150002,33.150002,2277240
2014-07-11,33.500000,35.450001,30.600000,31.100000,31.100000,3579529
2014-07-14,31.500000,32.500000,31.100000,31.450001,31.450001,1100058
2014-07-15,31.700001,32.599998,31.650000,32.150002,32.150002,1038561
2014-07-16,32.500000,33.849998,31.850000,33.150002,33.150002,1427470
2014-07-17,33.200001,33.500000,32.599998,32.799999,32.799999,1073289
2014-07-18,33.200001,34.099998,32.799999,33.000000,33.000000,1212865
2014-07-21,33.750000,36.099998,33.750000,35.049999,35.049999,2140511
2014-07-22,35.400002,35.950001,33.750000,34.250000,34.250000,1836521
2014-07-23,34.599998,34.950001,33.250000,33.849998,33.849998,1288489
2014-07-24,33.950001,33.950001,33.250000,33.500000,33.500000,419461
2014-07-25,33.750000,33.750000,31.350000,31.799999,31.799999,666163
2014-07-28,32.000000,32.000000,30.400000,30.799999,30.799999,513321
2014-07-30,30.549999,31.900000,30.500000,31.299999,31.299999,833291
2014-07-31,31.700001,31.700001,30.250000,30.400000,30.400000,471306
2014-08-01,30.000000,30.700001,29.250000,29.500000,29.500000,767534
2014-08-04,29.950001,30.200001,29.500000,29.750000,29.750000,430958
2014-08-05,29.950001,32.700001,29.100000,32.000000,32.000000,1807575
2014-08-06,31.650000,32.400002,30.700001,31.000000,31.000000,1095314
2014-08-07,31.250000,31.450001,30.150000,30.299999,30.299999,466687
2014-08-08,29.799999,29.799999,28.000000,28.549999,28.549999,915358
2014-08-11,28.950001,29.600000,28.799999,28.950001,28.950001,502249
2014-08-12,29.299999,31.150000,29.000000,30.650000,30.650000,1283956
2014-08-13,30.500000,30.900000,28.450001,28.600000,28.600000,1054578
2014-08-14,28.799999,29.900000,28.549999,29.350000,29.350000,1320044
2014-08-18,30.250000,31.000000,29.799999,30.350000,30.350000,1394468
2014-08-19,30.700001,31.150000,29.900000,30.549999,30.549999,968050
2014-08-20,30.500000,31.100000,30.100000,30.400000,30.400000,751352
2014-08-21,30.400000,31.600000,30.000000,30.400000,30.400000,1035507
2014-08-22,30.400000,31.500000,30.100000,31.250000,31.250000,1294975
2014-08-25,31.500000,31.700001,29.750000,30.000000,30.000000,1116428
2014-08-26,29.850000,30.250000,29.250000,29.549999,29.549999,576741
2014-08-27,29.700001,30.200001,29.400000,29.549999,29.549999,591027
2014-08-28,29.900000,30.000000,28.750000,28.950001,28.950001,526711
2014-09-01,29.000000,29.950001,29.000000,29.450001,29.450001,535764
2014-09-02,29.450001,30.700001,29.299999,30.049999,30.049999,1138785
2014-09-03,31.100000,32.650002,30.700001,32.049999,32.049999,3131455
2014-09-04,32.000000,34.200001,30.049999,33.799999,33.799999,3633465
2014-09-05,34.000000,35.500000,32.599998,34.650002,34.650002,4439102
2014-09-08,34.900002,35.000000,33.000000,33.349998,33.349998,1075092
2014-09-09,33.349998,33.700001,32.299999,32.599998,32.599998,759760
2014-09-10,32.250000,32.750000,31.350000,31.600000,31.600000,1055603
2014-09-11,31.950001,32.349998,31.350000,31.549999,31.549999,821019
2014-09-12,31.549999,32.299999,31.000000,31.500000,31.500000,1241576
2014-09-15,32.250000,33.150002,32.099998,32.549999,32.549999,1231640
2014-09-16,32.900002,32.900002,30.150000,30.250000,30.250000,932656
2014-09-17,31.000000,31.000000,29.700001,30.100000,30.100000,560063
2014-09-18,30.000000,31.600000,29.750000,31.200001,31.200001,1016219
2014-09-19,31.299999,31.600000,30.150000,30.350000,30.350000,516382
2014-09-22,30.100000,30.799999,29.750000,29.950001,29.950001,513496
2014-09-23,30.000000,30.450001,28.799999,29.000000,29.000000,563387
2014-09-24,28.900000,29.450001,27.900000,28.250000,28.250000,701449
2014-09-25,28.400000,28.450001,26.200001,26.500000,26.500000,958562
2014-09-26,26.299999,27.250000,26.000000,26.400000,26.400000,726943
2014-09-29,26.700001,28.100000,26.700001,27.500000,27.500000,763041
2014-09-30,27.400000,27.850000,26.950001,27.049999,27.049999,498109
2014-10-01,27.049999,27.400000,26.299999,26.549999,26.549999,316177
2014-10-07,26.549999,26.650000,25.850000,25.950001,25.950001,374258
2014-10-08,25.650000,26.299999,25.650000,26.200001,26.200001,304467
2014-10-09,26.700001,27.150000,26.100000,26.850000,26.850000,598545
2014-10-10,26.799999,26.799999,26.000000,26.100000,26.100000,246228
2014-10-13,26.049999,27.600000,25.850000,27.450001,27.450001,756640
2014-10-14,27.700001,28.100000,26.799999,27.100000,27.100000,845661
2014-10-15,27.100000,27.100000,27.100000,27.100000,27.100000,0
2014-10-16,27.100000,27.150000,26.000000,26.200001,26.200001,288758
2014-10-17,26.400000,26.600000,25.950001,26.150000,26.150000,229860
2014-10-20,26.400000,27.500000,26.400000,26.600000,26.600000,492028
2014-10-21,27.000000,27.150000,26.549999,26.650000,26.650000,352840
2014-10-22,26.950001,27.250000,26.350000,26.700001,26.700001,331721
2014-10-27,26.950001,28.100000,26.650000,27.200001,27.200001,826684
2014-10-28,27.299999,27.700001,27.100000,27.250000,27.250000,297890
2014-10-29,27.500000,31.150000,27.350000,30.299999,30.299999,3749097
2014-10-30,29.950001,30.900000,29.150000,29.850000,29.850000,1311510
2014-10-31,30.000000,30.450001,29.600000,29.750000,29.750000,479119
2014-11-03,29.799999,30.700001,29.450001,30.100000,30.100000,629706
2014-11-05,30.950001,32.150002,30.799999,31.100000,31.100000,1265783
2014-11-07,31.000000,31.500000,30.450001,30.600000,30.600000,477376
2014-11-10,31.100000,31.150000,30.100000,30.250000,30.250000,356382
2014-11-11,30.350000,30.750000,29.799999,30.150000,30.150000,368087
2014-11-12,30.450001,30.799999,29.850000,30.150000,30.150000,619933
2014-11-13,30.100000,30.200001,29.350000,29.600000,29.600000,296779
2014-11-14,29.850000,29.850000,28.200001,28.400000,28.400000,389654
2014-11-17,28.250000,28.650000,27.850000,28.049999,28.049999,432966
2014-11-18,28.500000,29.600000,28.299999,29.250000,29.250000,646452
2014-11-19,29.100000,29.500000,28.350000,28.500000,28.500000,462594
2014-11-20,28.500000,28.650000,27.799999,27.950001,27.950001,321651
2014-11-21,28.600000,28.700001,27.650000,27.799999,27.799999,333012
2014-11-24,28.000000,30.450001,27.700001,28.650000,28.650000,1897745
2014-11-25,28.299999,28.450001,27.000000,27.400000,27.400000,403846
2014-11-26,27.400000,28.250000,27.350000,27.650000,27.650000,552563
2014-11-27,27.900000,28.200001,27.350000,27.549999,27.549999,355650
2014-11-28,28.100000,28.549999,27.500000,27.650000,27.650000,496811
2014-12-01,27.200001,28.200001,27.000000,27.100000,27.100000,253776
2014-12-02,27.000000,27.350000,26.500000,26.700001,26.700001,323286
2014-12-03,27.000000,29.900000,26.750000,29.000000,29.000000,2532427
2014-12-04,29.299999,29.299999,28.100000,28.549999,28.549999,807213
2014-12-05,28.400000,29.350000,28.400000,28.549999,28.549999,675171
2014-12-08,28.549999,29.400000,28.100000,28.549999,28.549999,650342
2014-12-09,28.250000,28.850000,27.549999,27.700001,27.700001,391086
2014-12-10,27.400000,28.450001,27.400000,28.200001,28.200001,364841
2014-12-11,28.100000,28.350000,27.400000,27.600000,27.600000,249591
2014-12-12,27.450001,27.799999,26.650000,26.799999,26.799999,247452
2014-12-15,26.700001,27.150000,26.350000,26.700001,26.700001,268765
2014-12-16,26.549999,26.549999,25.000000,25.150000,25.150000,369997
2014-12-17,25.000000,26.000000,24.100000,25.250000,25.250000,420342
2014-12-18,25.549999,26.600000,25.549999,26.150000,26.150000,353882
2014-12-19,26.450001,26.850000,25.200001,25.450001,25.450001,434265
2014-12-22,25.600000,26.150000,25.600000,25.850000,25.850000,240974
2014-12-23,25.750000,26.299999,25.350000,25.400000,25.400000,156177
2014-12-24,26.200001,29.200001,26.000000,28.600000,28.600000,2046637
2014-12-26,28.500000,28.500000,27.150000,27.450001,27.450001,774652
2014-12-29,27.600000,28.150000,27.049999,27.200001,27.200001,386612
2014-12-30,26.950001,27.850000,26.950001,27.150000,27.150000,482514
2014-12-31,27.100000,27.750000,26.799999,27.299999,27.299999,480878
2015-01-01,27.400000,27.950001,27.100000,27.650000,27.650000,374296
2015-01-02,27.850000,28.200001,27.500000,27.549999,27.549999,487668
2015-01-05,27.549999,27.850000,27.200001,27.350000,27.350000,259361
2015-01-06,27.299999,28.150000,26.500000,26.799999,26.799999,1089909
2015-01-07,26.600000,27.600000,26.600000,27.100000,27.100000,299548
2015-01-08,27.450001,28.100000,27.200001,27.750000,27.750000,611243
2015-01-09,27.600000,28.150000,27.049999,27.299999,27.299999,403471
2015-01-12,27.450001,27.799999,27.250000,27.350000,27.350000,291854
2015-01-13,27.400000,29.049999,27.250000,27.950001,27.950001,1254093
2015-01-14,28.350000,29.100000,28.150000,28.549999,28.549999,901605
2015-01-15,28.950001,28.950001,27.850000,28.150000,28.150000,413039
2015-01-16,28.150000,28.400000,27.500000,27.600000,27.600000,527111
2015-01-19,27.549999,28.750000,27.549999,28.150000,28.150000,481177
2015-01-20,28.150000,29.100000,28.150000,28.250000,28.250000,709232
2015-01-21,28.200001,28.600000,27.700001,28.000000,28.000000,359076
2015-01-22,27.900000,28.299999,27.500000,27.650000,27.650000,287594
2015-01-23,27.799999,28.600000,27.200001,27.500000,27.500000,403593
2015-01-27,27.700001,27.850000,26.799999,27.049999,27.049999,247510
2015-01-28,27.000000,28.400000,26.799999,28.100000,28.100000,708012
2015-01-29,28.900000,29.250000,28.299999,28.650000,28.650000,1209228
2015-01-30,28.750000,29.450001,28.549999,28.799999,28.799999,647466
2015-02-02,28.549999,29.549999,28.500000,29.049999,29.049999,687110
2015-02-03,29.049999,29.150000,28.150000,28.350000,28.350000,326932
2015-02-04,28.549999,30.850000,28.350000,30.350000,30.350000,1887970
2015-02-05,30.299999,30.350000,28.700001,28.799999,28.799999,814240
2015-02-06,28.750000,29.000000,27.500000,27.650000,27.650000,501042
2015-02-09,27.350000,28.100000,27.049999,27.299999,27.299999,405356
2015-02-10,27.150000,28.100000,27.000000,27.250000,27.250000,355436
2015-02-11,27.450001,27.900000,27.350000,27.549999,27.549999,233680
2015-02-12,27.549999,28.650000,27.500000,28.299999,28.299999,598390
2015-02-13,28.000000,28.100000,27.200001,27.400000,27.400000,323288
2015-02-16,27.500000,28.299999,27.500000,27.600000,27.600000,260123
2015-02-18,27.900000,30.400000,27.900000,29.650000,29.650000,1693798
2015-02-19,29.850000,30.400000,28.700001,28.950001,28.950001,1078455
2015-02-20,29.250000,30.850000,28.799999,29.850000,29.850000,1304355
2015-02-23,30.000000,30.549999,29.250000,29.500000,29.500000,645832
2015-02-24,29.750000,30.250000,28.600000,29.049999,29.049999,553598
2015-02-25,29.299999,30.150000,28.799999,29.000000,29.000000,728924
2015-02-26,29.000000,29.000000,28.100000,28.450001,28.450001,430472
2015-02-27,28.600000,29.450001,28.600000,29.200001,29.200001,543964
2015-02-28,null,null,null,null,null,null
2015-03-02,28.000000,28.299999,27.200001,27.400000,27.400000,410657
2015-03-03,27.450001,27.900000,27.000000,27.100000,27.100000,503893
2015-03-04,27.549999,27.700001,26.549999,26.650000,26.650000,412719
2015-03-05,26.850000,27.049999,26.350000,26.600000,26.600000,246305
2015-03-09,26.500000,26.500000,25.200001,25.450001,25.450001,506265
2015-03-10,25.600000,26.850000,25.600000,25.950001,25.950001,706658
2015-03-11,25.700001,25.750000,20.900000,21.049999,21.049999,4023938
2015-03-12,22.000000,22.850000,21.650000,22.350000,22.350000,1584690
2015-03-13,23.000000,23.250000,22.100000,22.299999,22.299999,834917
2015-03-16,22.500000,22.500000,21.100000,21.250000,21.250000,337568
2015-03-17,21.500000,21.750000,19.850000,20.049999,20.049999,917909
2015-03-18,20.450001,21.549999,19.700001,21.150000,21.150000,1636163
2015-03-19,21.400000,21.600000,20.250000,20.350000,20.350000,447260
