Date,MTNL.BO,HINDPETRO.BO,SAIL.BO,BATAINDIA.BO,GODREJIND.BO,WHIRLPOOL.BO,CENTURYTEX.BO,DABUR.BO,BHEL.BO,IDBI.BO
1/1/2014,15.13,53.211102,72.900002,534.075012,278.427002,211.350006,313.850006,171.949997,116.900002,67.400002
1/2/2014,15.16,51.577801,71.150002,514.849976,270.334015,210.300003,293.950012,167,112.900002,65.699997
1/3/2014,15.37,50.533298,70.699997,520.025024,270.584015,210,305,167.149994,110.733002,66.199997
1/6/2014,15.98,50.288898,72,513.474976,279.076996,210,306,169.649994,109.599998,65.699997
1/7/2014,17.620001,49.422199,69.550003,511.850006,273.781006,210.050003,311.299988,172.550003,110.167,64.199997
1/8/2014,17,48.2444,69.75,520.224976,271.683014,210,310.700012,174.050003,108.699997,66.75
1/9/2014,17.370001,48.855598,69.75,512.125,268.085999,210.199997,308.149994,173.050003,108.366997,64.699997
1/10/2014,16.74,49.033298,68.599998,506.125,276.479004,210.149994,305.149994,174,108.366997,64.099998
1/13/2014,16.469999,49.1222,67.300003,518.525024,279.876007,200.100006,305.75,170.300003,109.432999,64.099998
1/14/2014,15.9,48.722198,66.400002,508.825012,280.575989,197.649994,304.75,171.850006,108.467003,64.199997
1/15/2014,15.73,49.422199,66.849998,498.75,285.071991,198.300003,315.049988,170.600006,110.800003,65.150002
1/16/2014,15.4,50.133301,67.849998,503.600006,289.717987,195.149994,312.700012,168.050003,112.733002,64.699997
1/17/2014,14.9,52.5667,67.050003,496.25,289.019012,190.550003,300.899994,167.699997,114.199997,63.25
1/20/2014,15,51.9333,68.050003,495.299988,292.466003,187.100006,308.25,169.699997,115.633003,63.099998
1/21/2014,15.02,51.9333,68.900002,487.200012,288.468994,195.25,312.950012,167.600006,113.432999,63.950001
1/22/2014,14.86,52.677799,69.900002,492.600006,286.821014,193.699997,325.549988,160.850006,112.900002,63.5
1/23/2014,14.69,52.333302,69.25,494.674988,281.725006,190.699997,322.600006,161.75,113.932999,63.599998
1/24/2014,15.43,51.677799,69.099998,484.700012,268.684998,187.050003,306.799988,163.649994,110.067001,61.5
1/27/2014,16.01,50.7556,67.300003,472,268.38501,181.600006,286.950012,162.899994,108.366997,57.5
1/28/2014,15.44,50.544399,67.650002,464.825012,267.385986,180.600006,289.25,168.300003,109.567001,56.349998
1/29/2014,14.95,53.3778,65.650002,465.225006,280.825012,176.550003,288.200012,171,113.800003,54.400002
