Date,LT.BO,AXISBANK.BO,TATAMOTORS.BO,HDFC.BO,ICICIBANK.BO,TCS.BO,WIPRO.BO,ITC.BO,SUNPHARMA.BO,RELIANCE.BO
1/1/2014,712.599976,258.350006,370.931,793.150024,199.526993,1076.849976,207.281006,214.733002,572.400024,444.350006
1/2/2014,690.932983,254.550003,368.011993,791.450012,195.473007,1081.150024,207.337006,210.266998,573.900024,437.674988
1/3/2014,674.833008,252.130005,358.859985,790,194,1111,208.931,209.899994,579.950012,432.5
1/6/2014,674.200012,251.190002,362.966003,795,189.218002,1119.800049,209.268997,210.667007,588.150024,427.450012
1/7/2014,679.367004,246.860001,361.433014,797.650024,190.899994,1104.099976,206.231003,211.167007,593.75,421.075012
1/8/2014,665.599976,242.559998,366.329987,804.450012,191.645004,1116.5,204.863007,211.199997,601.799988,424.125
1/9/2014,647.732971,236.990005,364.252991,800.5,191.182007,1121.819946,202.781006,210.300003,606.5,425.274994
1/10/2014,637.333008,232.910004,364.252991,800,186.281998,1140.900024,207.955994,214.966995,609.700012,428.450012
1/13/2014,653.400024,236.690002,372.069,818.849976,192.035995,1185.150024,210.544006,217,602.450012,439.5
1/14/2014,648.299988,235.139999,367.864014,823.849976,188.645004,1164.069946,207.261993,216.100006,603.599976,440.549988
1/15/2014,665.867004,235.630005,372.760986,844.950012,192.427002,1177.119995,210.037994,218.899994,603.650024,442.700012
1/16/2014,668.53302,235.389999,365.835999,860.200012,192.882004,1175.680054,213.899994,217.132996,593.25,442.575012
1/17/2014,667.432983,230.559998,365.737,840.400024,188.182007,1107.819946,207.169006,216.567001,594.150024,442.274994
1/20/2014,666.666992,232.309998,370.634003,835.25,189.835999,1169.119995,214.988007,220.132996,589.349976,434.75
1/21/2014,674.200012,237.820007,380.578003,837.349976,196.145004,1140.319946,214.311996,219.332993,580.900024,432.024994
1/22/2014,669.833008,237.369995,381.221008,842.25,197.645004,1137.180054,216.544006,218.266998,597.450012,436.100006
1/23/2014,688.666992,243.259995,378.945007,856.049988,196.199997,1127.069946,216.899994,219.300003,608.799988,433.024994
1/24/2014,670.567017,241.389999,366.578003,844.799988,192.354996,1124.069946,214.949997,216.132996,602.700012,433.5
1/27/2014,653.267029,231.990005,344.118011,832.25,183.645004,1115.150024,214.050003,216.300003,597.450012,421.399994
1/28/2014,656.232971,224.389999,352.477997,832.900024,185.300003,1106.650024,213,218.100006,582.900024,422.899994
1/29/2014,662.099976,227.929993,348.125,825.200012,182.173004,1104.780029,214.425003,216.667007,590.700012,418.375
1/30/2014,653.46698,221.990005,357.376007,828.700012,177.227005,1108.949951,214.444,216.367004,593.299988,412.850006
1/31/2014,656.932983,223.910004,346.145996,808,179.727005,1118.099976,215.606003,216.733002,588.150024,415.424988
2/3/2014,653.267029,224.610001,333.036011,788.900024,175.218002,1098.319946,212.231003,213.667007,595.299988,410.649994
2/4/2014,655.067017,224.649994,342.238007,788.299988,176.382004,1077.599976,208.462006,216.667007,588.799988,411
2/5/2014,656.132996,224.240005,352.03299,785.799988,175.664001,1095.530029,209.925003,212.632996,584.25,408.075012
2/6/2014,649.732971,220.570007,353.864014,785,174.108994,1087.380005,213.130997,216.399994,584.900024,407.924988
2/7/2014,654.567017,225.149994,357.07901,783.549988,174.863998,1071.680054,210.356003,215.600006,601.299988,407.149994
2/10/2014,662.900024,224.020004,360.145996,766.200012,174.464005,1046.849976,211.143997,216.667007,611.400024,410.799988
2/11/2014,661.132996,224.520004,370.337006,775.200012,176.199997,1050.5,211.087006,216.699997,608.599976,402.75
2/12/2014,672.5,223.839996,372.069,785.200012,181.682007,1051.900024,210.806,213.533005,611.049988,408.725006
2/13/2014,657.400024,220.240005,371.970001,766.150024,178.399994,1066.880005,208.369003,211.167007,614.700012,403.725006
2/14/2014,662.03302,220.539993,384.040985,771.700012,179.709,1083.119995,211.5,213.199997,608.950012,410.75
2/17/2014,665.432983,223.070007,382.26001,780.549988,183.535995,1084.300049,210.319,213.300003,605.950012,405.725006
2/18/2014,678.900024,232.919998,387.306,803.900024,188.682007,1083.069946,208.893997,211.600006,609,406.375
2/19/2014,686.599976,232.940002,387.306,805.599976,187.391006,1099.219971,211.705994,211.067001,623.299988,406.274994
2/20/2014,688.067017,231.350006,387.058014,792.5,183.354996,1096.430054,212.100006,207.867004,619.349976,402.674988
2/21/2014,701.067017,237.949997,391.757996,798.400024,186.317993,1102.680054,214.425003,211.667007,614.299988,405.649994
2/24/2014,721.067017,247.100006,392.401001,810.650024,188.399994,1089.099976,216.787994,213.233002,620.349976,406.200012
2/25/2014,725.432983,247.029999,394.380005,811,187.399994,1094.150024,223.181,214.600006,618.599976,405.200012
2/26/2014,731.03302,247.240005,396.210999,819,188.436005,1091.199951,226.255997,219.033005,626.799988,405.274994
2/28/2014,738.867004,253.179993,412.63501,818.349976,189.764008,1136.400024,223.781006,218.332993,642.700012,399.625
3/3/2014,731.200012,250.759995,406.303009,811,187.209,1120.430054,219.619003,219.100006,625.049988,401.75
