Date,JNJ,WMT,DIS,INTC,IBM,NFLX,GOOG,TSLA,AAPL,MSFT
2/8/2019,132.399994,95.580002,111.510002,48.84,133.710007,347.570007,1095.060059,305.799988,170.410004,105.669998
2/11/2019,132,96.199997,109.440002,48.77,133.990005,345.730011,1095.01001,312.839996,169.429993,105.25
2/12/2019,134.160004,96.970001,109.199997,50.009998,136.050003,359.970001,1121.369995,311.809998,170.889999,106.889999
2/13/2019,134.449997,97.940002,110.199997,50.470001,137.520004,351.769989,1120.160034,308.170013,170.179993,106.809998
2/14/2019,134.309998,98.519997,110.660004,50.810001,136.479996,359.070007,1121.670044,303.769989,170.800003,106.900002
2/15/2019,136.380005,99.989998,112.589996,51.66,138.029999,356.869995,1113.650024,307.880005,170.419998,108.220001
2/19/2019,135.690002,102.199997,113.510002,51.400002,138.699997,361.920013,1118.560059,305.640015,170.929993,108.169998
2/20/2019,136.350006,99.879997,113.68,51.389999,138,359.910004,1113.800049,302.559998,172.029999,107.150002
2/21/2019,135.419998,99.389999,114.290001,51.41,137.839996,356.970001,1096.969971,291.230011,171.059998,109.410004
2/22/2019,136.600006,99.550003,115.25,52.490002,139.25,363.019989,1110.369995,294.709991,172.970001,110.970001
2/25/2019,136.199997,99.120003,113.589996,53.099998,139.460007,363.910004,1109.400024,298.769989,174.229996,111.589996
2/26/2019,136.110001,98.690002,113.5,53.23,139.720001,364.970001,1115.130005,297.859985,174.330002,112.360001
2/27/2019,135.869995,98.110001,112.779999,53.240002,139.169998,362.869995,1116.050049,314.73999,174.869995,112.169998
2/28/2019,136.639999,98.989998,112.839996,52.959999,138.130005,358.100006,1119.920044,319.880005,173.149994,112.029999
3/1/2019,138.350006,97.93,114.010002,53.299999,139.199997,357.320007,1140.98999,294.790009,174.970001,112.529999
3/4/2019,138.479996,97.849998,114.330002,53.939999,138.429993,351.040009,1147.800049,285.359985,175.850006,112.260002
3/5/2019,138.770004,98.339996,114,53.68,137.880005,354.299988,1162.030029,276.540009,175.529999,111.699997
3/6/2019,139.089996,98.260002,114.849998,52.950001,136.979996,359.609985,1157.859985,276.23999,174.520004,111.75
3/7/2019,138.240005,97.449997,114.010002,52.599998,135.360001,352.600006,1143.300049,276.589996,172.5,110.389999
3/8/2019,138.059998,97.589996,113.809998,52.48,135.089996,349.600006,1142.319946,284.140015,172.910004,110.510002
3/11/2019,138.559998,98.480003,114.75,53.349998,137.710007,358.859985,1175.76001,290.920013,178.899994,112.830002
3/12/2019,139.179993,98.370003,114.730003,53.57,138.279999,356.269989,1193.199951,283.359985,180.910004,113.620003
3/13/2019,139.410004,99.029999,114.089996,54.369999,138.559998,361.209991,1193.319946,288.959991,181.710007,114.5
3/14/2019,138.020004,98.220001,114.480003,53.439999,138.789993,358.820007,1185.550049,289.959991,183.729996,114.589996
3/15/2019,137.600006,98.419998,114.959999,54.330002,139.429993,361.459991,1184.459961,275.429993,186.119995,115.910004
3/18/2019,137.169998,99.660004,113.120003,54.099998,140.210007,363.440002,1184.26001,269.48999,188.020004,117.57
3/19/2019,138.440002,99.849998,110,54.169998,140.490005,358.779999,1198.849976,267.470001,186.529999,117.650002
3/20/2019,137.289993,98.639999,109.989998,53.82,139.600006,375.220001,1223.969971,273.600006,188.160004,117.519997
3/21/2019,138.100006,99.059998,108.660004,54.639999,141.440002,377.869995,1231.540039,274.019989,195.089996,120.220001
3/22/2019,136.910004,98.279999,108.230003,53.259998,139.449997,361.01001,1205.5,264.529999,191.050003,117.050003
3/25/2019,136.610001,98.169998,107.790001,52.779999,139.179993,366.230011,1193,260.420013,188.740005,117.660004
3/26/2019,138.570007,98.32,110.139999,53.439999,140.220001,359.970001,1184.619995,267.769989,186.789993,117.910004
